"college_institution_id","survey_year","non_teaching_staff_count_id"
"50660","2015","440885"
"50659","2015","440888"
"50659","2015","440889"
"11952","2015","440890"
"11952","2015","440891"
"11952","2015","440892"
"11952","2015","440893"
"11952","2015","440894"
"11952","2015","440895"
"11952","2015","440896"
"9749","2015","440898"
"9749","2015","440899"
"9749","2015","440900"
"9749","2015","440901"
"6446","2015","440902"
"6062","2015","440903"
"6062","2015","440904"
"6062","2015","440905"
"9654","2015","440911"
"9654","2015","440912"
"18701","2015","440913"
"18701","2015","440914"
"1225","2015","440922"
"1225","2015","440923"
"1225","2015","440924"
"820","2015","440925"
"6055","2015","440926"
"41314","2015","440929"
"45279","2015","440930"
"289","2015","440938"
"289","2015","440939"
"47359","2015","440940"
"47359","2015","440941"
"821","2015","440948"
"821","2015","440949"
"821","2015","440950"
"821","2015","440951"
"821","2015","440952"
"40420","2015","440953"
"40420","2015","440954"
"40420","2015","440955"
"40420","2015","440956"
"97","2015","440957"
"97","2015","440958"
"97","2015","440959"
"97","2015","440960"
"97","2015","440961"
"41938","2015","440962"
"41938","2015","440963"
"41938","2015","440964"
"6648","2015","440965"
"6897","2015","440966"
"6897","2015","440967"
"6897","2015","440968"
"6897","2015","440969"
"48415","2015","440978"
"49039","2015","440995"
"435","2015","440999"
"435","2015","441000"
"435","2015","441001"
"435","2015","441002"
"435","2015","441003"
"435","2015","441004"
"5792","2015","441008"
"5792","2015","441009"
"5792","2015","441010"
"5792","2015","441011"
"5792","2015","441012"
"262","2015","441014"
"262","2015","441015"
"262","2015","441016"
"262","2015","441017"
"184","2015","441021"
"184","2015","441022"
"45940","2015","441025"
"45940","2015","441026"
"45940","2015","441027"
"50182","2015","441028"
"28085","2015","441029"
"28085","2015","441030"
"28085","2015","441031"
"11000","2015","441032"
"11000","2015","441033"
"11000","2015","441034"
"11000","2015","441035"
"48614","2015","441042"
"48614","2015","441043"
"48614","2015","441044"
"403","2015","441045"
"403","2015","441046"
"7137","2015","441050"
"7137","2015","441051"
"7137","2015","441052"
"7137","2015","441053"
"50788","2015","441057"
"50788","2015","441058"
"50788","2015","441059"
"51165","2015","441065"
"51165","2015","441066"
"92","2015","441071"
