"id","country_id","programme_id","discipline","total","girls","broad_discipline_group_id","level_id"
"59596","217","030","Science","2","2","171","4"
"57735","139","126","Business Management","1","1","133","3"
"60730","70","157","Design","1","0","180","1"
"59374","117","036","Civil Engineering","1","0","016","4"
"52701","217","008","B.Sc. Agriculture","1","0","001","4"
"60109","113","006","Arts","1","0","178","4"
"60760","70","093","M.Com","1","0","009","3"
"54360","160","070","Physiotherapy","9","0","164","4"
"54843","168","124","Conflict Analysis & Peace Building","1","0","116","3"
"60486","104","117","Obstetric & Gynaecology Nursing","1","1","072","3"
"54468","102","157","Political science","2","1","112","1"
"53165","160","049","Dental","2","2","066","4"
"58490","244","050","Computer Science & Engineering","1","0","017","4"
"53006","2","046","Bachelor of Computer Application","32","4","183","4"
"56578","150","076","CHINESE&JA","2","1","035","7"
"50357","27","036","Information & Communication Technology","1","1","185","4"
"59866","20","153","SOCIAL WORK","1","1","117","3"
"55647","113","046","Computer Application (SF)","1","1","183","4"
"61244","2","009","B. Arch.","4","4","014","4"
"55191","206","030","Bio Technology","2","2","171","4"
"52356","133","006","Arts","4","4","178","4"
"59737","232","050","Computer Science","6","4","017","4"
"57224","247","180","Zoology","3","3","106","4"
"58460","160","111","Microbiology","1","0","156","3"
"56539","27","183","Pharmacy","1","0","076","6"
"53235","165","030","B.Sc RT Bridge Program","8","5","171","4"
"57394","2","006","Journalism","1","0","178","4"
"49252","139","050","Chemical","1","1","015","4"
"55229","153","152","Gen Surg","2","0","069","3"
"51065","207","012","Commerce","1","0","009","4"
"57880","228","030","Medical Technology","1","0","171","4"
"59002","113","133","Communication Systems","1","0","019","3"
"50593","207","043","Management","8","0","133","4"
"59987","206","036","Electronics & Communication Engineering","1","0","020","4"
"53490","133","129","MBBS","4","4","068","4"
"57071","149","030","Science","1","0","171","4"
"59877","244","012","Commerce","2","0","009","4"
"55972","40","129","Opthalmology","0","0","068","4"
"60385","206","006","Corporate Economics","1","1","178","4"
"52968","244","050","EEE","1","0","019","4"
"50563","230","027","B Pharm","1","0","076","4"
"50163","133","044","044","6","4","055","4"
"53608","40","070","Physio","1","0","164","4"
"48259","245","030","Economics","3","2","171","4"
"52149","51","044","Business Management","2","0","055","4"
"58524","207","108","Pharmaceutics (Drug Regulatory Affairs)","1","1","076","3"
"48243","149","009","Architecture","1","1","014","4"
"57557","117","043","Business Management","12","5","133","4"
"61171","103","027","B.PHARMACY","16","0","076","4"
"58728","101","012","Commerce","1","1","009","4"
"48283","2","046","Computer","2","0","183","4"
