"university_id","survey_year","teaching_staff_id"
"0368","2015","925923"
"0368","2015","925924"
"0368","2015","925925"
"0368","2015","925926"
"0368","2015","925927"
"0368","2015","925928"
"0368","2015","925929"
"0368","2015","925930"
"0368","2015","925931"
"0368","2015","925932"
"0368","2015","925933"
"0368","2015","925934"
"0368","2015","925935"
"0368","2015","925936"
"0368","2015","925937"
"0368","2015","925938"
"0240","2015","925973"
"0240","2015","925974"
"0240","2015","925975"
"0128","2015","926057"
"0658","2015","926651"
"0658","2015","926652"
"0658","2015","926653"
"0658","2015","926654"
"0658","2015","926655"
"0658","2015","926656"
"0658","2015","926657"
"0125","2015","927971"
"0125","2015","927972"
"0125","2015","927973"
"0578","2015","928419"
"0578","2015","928420"
"0578","2015","928421"
"0578","2015","928422"
"0578","2015","928423"
"0578","2015","928424"
