"id","non_teaching_staff","teaching_staff","total"
"43315","13","22","35"
"44382","1","2","3"
"54848","65","85","150"
"47347","2","1","3"
"45511","6","4","10"
"46523","15","0","15"
"50686","4","8","12"
"51522","2","22","24"
"43121","3","12","15"
"48733","4","5","9"
"49651","5","25","30"
"55686","3","15","18"
"51912","121","58","179"
"46811","7","18","25"
"44728","8","14","22"
"45320","4","8","12"
"49533","0","12","12"
"46839","4","0","4"
"47428","0","5","5"
"55172","7","6","13"
"49253","12","21","33"
"43751","3","8","11"
"44159","4","10","14"
"52727","2","2","4"
"45372","0","1","1"
"55315","1","8","9"
"54251","80","40","120"
"55588","6","8","14"
"50764","0","14","14"
"43225","12","15","27"
"44243","0","1","1"
"54890","3","6","9"
"55041","9","5","14"
"46680","3","5","8"
"45855","10","2","12"
"45331","3","12","15"
"52138","4","0","4"
"55691","31","20","51"
"54639","14","13","27"
"49237","4","6","10"
"51895","12","17","29"
"55029","5","14","19"
"46228","0","3","3"
"51560","0","7","7"
"47011","3","2","5"
"53352","1","1","2"
"46050","50","50","100"
"49185","1","4","5"
"42622","0","1","1"
"42700","6","18","24"
"48660","5","10","15"
"42709","35","25","60"
"44027","1","0","1"
"55412","16","16","32"
"48369","4","6","10"
"48899","22","12","34"
"46417","8","9","17"
"53410","2","2","4"
"45265","4","5","9"
"55195","0","4","4"
"49148","0","1","1"
"50386","10","12","22"
"45149","1","0","1"
"50412","13","28","41"
"45647","142","105","247"
"48242","2","2","4"
"53067","4","5","9"
"55133","5","6","11"
"45146","5","5","10"
"55682","18","28","46"
"45364","12","48","60"
"55841","2","5","7"
"47252","0","1221","1221"
"52425","5","5","10"
"48213","5","20","25"
"45702","2","7","9"
"49234","10","10","20"
"54374","4","8","12"
"54279","2","4","6"
"47767","10","5","15"
"55490","10","10","20"
"47731","13","14","27"
"44694","30","24","54"
"45289","2","6","8"
"44805","7","12","19"
"54693","12","14","26"
"51015","4","6","10"
"54413","0","6","6"
"54747","64","27","91"
"43934","1","1","2"
"55594","10","18","28"
"46598","2","4","6"
"46159","9","16","25"
"53438","0","2","2"
"50216","0","8","8"
"49537","5","9","14"
"54603","2","1","3"
"47183","6","49","55"
"46798","8","20","28"
"43638","0","3","3"
"42245","2","6","8"
"47857","6","1","7"
"51041","10","26","36"
"50653","3","0","3"
"54838","15","12","27"
"51289","3","2","5"
"48994","12","6","18"
"53318","2","5","7"
"55630","10","26","36"
"44470","8","8","16"
"52018","7","8","15"
"44293","6","6","12"
"50028","2","0","2"
"43797","16","8","24"
"55444","2","3","5"
"43618","4","7","11"
"47345","3","2","5"
"43936","0","3","3"
"49364","20","15","35"
"54132","2","2","4"
"44958","8","9","17"
"46393","1","4","5"
"47660","4","8","12"
"52739","20","16","36"
"55299","15","17","32"
"46072","6","10","16"
"51143","5","18","23"
"55782","6","8","14"
"48325","5","8","13"
"48040","1","0","1"
"48224","8","8","16"
"54205","4","7","11"
"51221","2","2","4"
"47051","10","35","45"
"51909","0","5","5"
"45406","4","0","4"
"49659","8","18","26"
"55155","6","3","9"
"55438","3","2","5"
"46141","6","15","21"
"42362","7","10","17"
"55443","2","2","4"
"46573","6","8","14"
"52263","82","132","214"
"52872","10","6","16"
"50696","3","5","8"
"49516","12","16","28"
"42318","12","18","30"
"42702","1","1","2"
"42298","1","1","2"
"49349","0","33","33"
"42491","13","12","25"
"51474","5","10","15"
"52241","31","15","46"
"51990","28","21","49"
"43071","11","10","21"
"50417","15","18","33"
"42987","20","20","40"
"45248","5","9","14"
"43541","3","13","16"
"49823","14","1","15"
"52862","15","24","39"
"51158","65","22","87"
"51281","815","280","1095"
"46204","7","5","12"
"50468","4","5","9"
"43463","1","13","14"
"52185","0","2","2"
"49838","12","8","20"
"52566","5","15","20"
"48649","16","26","42"
"47942","6","8","14"
"48353","0","1","1"
"45786","18","10","28"
"52491","15","10","25"
"46691","0","8","8"
"51460","7","12","19"
"47804","9","4","13"
"48344","8","15","23"
"55617","6","14","20"
"47775","2","4","6"
"42734","7","9","16"
"48507","8","16","24"
"43245","4","6","10"
"44821","10","20","30"
"54304","1","4","5"
"42631","15","28","43"
"45040","2","3","5"
"42687","5","10","15"
"45731","1","2","3"
"45005","0","3","3"
"43491","5","15","20"
"49092","15","8","23"
"52821","0","5","5"
