"standalone_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"9275","2015","521214"
"9275","2015","521215"
"9275","2015","521216"
"3782","2015","521283"
"3782","2015","521284"
"3782","2015","521285"
"3782","2015","521286"
"3782","2015","521287"
"1666","2015","521293"
"1666","2015","521294"
"1666","2015","521295"
"2088","2015","521310"
"2088","2015","521311"
"2088","2015","521312"
"2088","2015","521313"
"10224","2015","521323"
"10224","2015","521324"
"10224","2015","521325"
"9384","2015","521326"
"9384","2015","521327"
"9384","2015","521328"
"8889","2015","521394"
"8889","2015","521395"
"8889","2015","521396"
"8889","2015","521397"
"14973","2015","521567"
"14973","2015","521568"
"14973","2015","521569"
"10053","2015","521574"
"10053","2015","521575"
"10053","2015","521576"
"9436","2015","521600"
"9436","2015","521601"
"9436","2015","521602"
"9207","2015","521710"
"9207","2015","521711"
"9207","2015","521712"
"9394","2015","521720"
"9394","2015","521721"
"9394","2015","521722"
"9394","2015","521723"
"9394","2015","521724"
"9129","2015","521733"
"9129","2015","521734"
"9129","2015","521735"
"9767","2015","521753"
"9767","2015","521754"
"9767","2015","521755"
"9894","2015","521763"
"9894","2015","521764"
"9894","2015","521765"
"9894","2015","521766"
"1387","2015","521780"
"1387","2015","521781"
"3337","2015","521800"
"3337","2015","521801"
"3337","2015","521802"
"3337","2015","521803"
"14892","2015","521815"
"14892","2015","521816"
"14892","2015","521817"
"14892","2015","521818"
"14892","2015","521819"
"9844","2015","521871"
"9844","2015","521872"
"9844","2015","521873"
"9028","2015","521911"
"9028","2015","521912"
"9028","2015","521913"
"9450","2015","521934"
"9450","2015","521935"
"9450","2015","521936"
"9133","2015","521941"
"9133","2015","521942"
"9133","2015","521943"
"10065","2015","521990"
"10065","2015","521991"
"10065","2015","521992"
"642","2015","522017"
"642","2015","522018"
"642","2015","522019"
"642","2015","522020"
"642","2015","522021"
"642","2015","522022"
"3245","2015","522052"
"3245","2015","522053"
"3245","2015","522054"
"3245","2015","522055"
"10152","2015","522056"
"10152","2015","522057"
"10152","2015","522058"
"10152","2015","522059"
"10152","2015","522060"
"3195","2015","522066"
"3195","2015","522067"
"3195","2015","522068"
"3195","2015","522069"
"3195","2015","522070"
"13973","2015","522076"
"13973","2015","522077"
"13973","2015","522078"
"5494","2015","522123"
"5494","2015","522124"
"5494","2015","522125"
"4289","2015","522148"
"4289","2015","522149"
"4289","2015","522150"
"4289","2015","522151"
"4289","2015","522152"
"4289","2015","522153"
"4289","2015","522154"
"4289","2015","522155"
"9158","2015","522171"
"9158","2015","522172"
"9158","2015","522173"
"1900","2015","522220"
"1900","2015","522221"
"8934","2015","522231"
"8934","2015","522232"
"3331","2015","522300"
"3331","2015","522301"
"3331","2015","522302"
"3331","2015","522303"
"3331","2015","522304"
"10219","2015","522358"
"10219","2015","522359"
"10219","2015","522360"
"8706","2015","522361"
"8706","2015","522362"
"8706","2015","522363"
"8706","2015","522364"
"10150","2015","522372"
"10150","2015","522373"
"10150","2015","522374"
"12406","2015","522381"
"12406","2015","522382"
"12406","2015","522383"
"798","2015","522416"
"798","2015","522417"
"798","2015","522418"
"798","2015","522419"
"798","2015","522420"
"798","2015","522421"
"4190","2015","522449"
"4190","2015","522450"
"4190","2015","522451"
"10198","2015","522489"
"10198","2015","522490"
"10198","2015","522491"
"10108","2015","522629"
"10108","2015","522630"
"10108","2015","522631"
"10108","2015","522632"
"10108","2015","522633"
"14025","2015","522673"
"14025","2015","522674"
"14025","2015","522675"
"13998","2015","522715"
"13998","2015","522716"
"13998","2015","522717"
"6638","2015","522718"
"6638","2015","522719"
"6638","2015","522720"
"2492","2015","522798"
"2492","2015","522799"
"2492","2015","522800"
"2492","2015","522801"
"2492","2015","522802"
"9610","2015","522832"
"9610","2015","522833"
"9610","2015","522834"
