table_name,attribute_name,attribute_type,Description
university_course,survey_year,int4,"REFERENCES university(id, survey_year)"
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,course_id,int4,REFERENCES course(id)
,,,
university_course_enrolled_foreign_student_count,survey_year,int4," REFERENCES university(id, survey_year)"
,university_id,bpchar," REFERENCES university(id, survey_year)"
,course_enrolled_foreign_student_count_id,int4,REFERENCES course_enrolled_foreign_student_count(id)
,,,
university_course_enrolled_student_count,course_enrolled_student_count_id,int4,REFERENCES course_enrolled_student_count(id)
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,survey_year,int4,"REFERENCES university(id, survey_year)"
,,,
university_course_examination_result,university_id,bpchar,"REFERENCES university(id, survey_year)"
,course_examination_result_id,int4,REFERENCES course_examination_result(id)
,survey_year,int4,"REFERENCES university(id, survey_year)"
,,,
university_department,university_id,bpchar,"REFERENCES university(id, survey_year)"
,department_id,int4,REFERENCES department(id)
,survey_year,int4,"REFERENCES university(id, survey_year)"
,,,
university_enrolled_distance_student,university_id,bpchar,"REFERENCES university(id, survey_year)"
,survey_year,int4,"REFERENCES university(id, survey_year)"
,enrolled_distance_student_university_id,int4,REFERENCES enrolled_distance_student_university(id)
,,,
university_enrolled_foreign_student_count,university_id,bpchar,"REFERENCES university(id, survey_year)"
,survey_year,int4,"REFERENCES university(id, survey_year)"
,enrolled_foreign_student_count_id,int4,REFERENCES enrolled_foreign_student_count(id)
,,,
university_enrolled_regular_student,university_id,bpchar,"REFERENCES university(id, survey_year)"
,enrolled_regular_student_id,int4,REFERENCES enrolled_regular_student(id)
,survey_year,int4,"REFERENCES university(id, survey_year)"
,,,
university_examination_result,examination_result_id,int4,REFERENCES examination_result(id)
,survey_year,int4,"REFERENCES university(id, survey_year)"
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,,,
university_faculty,faculty_id,int4,REFERENCES faculty(id)
,survey_year,int4,"REFERENCES university(id, survey_year)"
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,,,
university_non_teaching_staff_count,non_teaching_staff_count_id,int4,REFERENCES non_teaching_staff_count(id)
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,survey_year,int4,"REFERENCES university(id, survey_year)"
,,,
university_private_students_result,private_students_result_id,int4,REFERENCES private_students_result(id)
,survey_year,int4,"REFERENCES university(id, survey_year)"
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,,,
university_student_hostel,survey_year,int4,"REFERENCES university(id, survey_year)"
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,student_hostel_id,int4,REFERENCES student_hostel(id)
,,,
university_teaching_staff,university_id,bpchar,"REFERENCES university(id, survey_year)"
,teaching_staff_id,int4,REFERENCES teaching_staff(id)
,survey_year,int4,"REFERENCES university(id, survey_year)"
,,,
university_teaching_staff_sanctioned_strength,survey_year,int4,"REFERENCES university(id, survey_year)"
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,teaching_staff_sanctioned_strength_id,int4,REFERENCES teaching_staff_sanctioned_strength(id
,,,
upgrade_university,upgrade_datetime,timestamp,
,name,varchar,
,university_id,bpchar,"REFERENCES university(id, survey_year)"
,district_code,varchar,
,state_code,varchar,
,type_id,bpchar,
,survey_year,int4,
,user_id,varchar,REFERENCES user_master(id)
,college_id,bpchar,
,action_name,varchar,
,id,int4,
