"id","intake_capacity","name","students_residing","type_id"
"152057","300","KIT's College of Engineering","300","1"
"171873","60","Palayad Campus - Boys Hostel","60","1"
"153321","50","sarswati gram vidyapith hostel","0","1"
"183403","50","Shaeed Bhagat Singh Hostel,  M.G. Road, Agra","36","1"
"150439","20","IDI GIRLS HOSTEL","10","2"
"153947","200","Don Bosco Hostel-A","200","1"
"193569","64","CAPT ACCOMMODATION","36","1"
"174691","200","lyallpur girls hostel","1","2"
"191862","100","GIRLS HOSTEL","58","2"
"187561","60","COLLEGE HOSTEL","60","2"
"155736","50","Jai ganesh boys Hostel","3","1"
"158866","90","J S S POLYTECHNIC HOSTEL","90","1"
"189891","180","IPS BOYS HOSTEL","1","1"
"161422","50","Ashrith Nursing Boys Hostel","0","1"
"175615","50","Boys Hostel","0","1"
"189747","50","Girls Hostel","28","2"
"191584","100","skv college women's hostel","100","2"
"164543","120","Seriya devi","10","2"
"183704","23","Kalabari College Boys Hostel","12","1"
"167031","20","GMDSS Hostel","20","1"
"173020","170","Avvai Hostel for Women","170","2"
"188762","150","MOTHER TERESA GIRLS HOSTEL","100","2"
"156561","50","SMKM BOYS HOSTEL, JASAPAR","32","1"
"172219","224","SSB-B","218","1"
"175736","100","MIT Pharmacy Hostel","25","1"
"183617","50","SEEMA GIRLS HOSTEL","47","2"
"172864","230","SAINT MOTHER TERESA GIRLS HOSTAL","120","2"
"194372","50","yashwanrao chavan ayurvedic medical college boys hostel","12","1"
"173363","75","Dhanwantari Hostel 1","70","1"
"164613","108","hostel 1","0","1"
"164853","150","GIRLS HOSTEL","120","2"
"159830","20","Ladies' Hostel (Under Construction)","0","2"
"184967","216","Engineering  Hostel","216","1"
"160558","50","BH","25","1"
"162793","50","Boys' Hostel","20","1"
"173558","40","Swahid Mudra Patar Boys' Hostel","20","1"
"189890","50","IPS GIRLS HOSTEL","2","2"
"169675","175","Hostel-3","138","1"
"169708","100","Kalpataru kaveri hostel","12","1"
"191206","6","Dormitory","6","2"
"164485","80","APC College Girls' Hostel","0","2"
"148597","400","D. Y. PATIL BOYS HOSTEL","35","1"
"154467","100","HOSTEL,GOVT. STS,LANGALESWAR","60","1"
"173933","25","PNB HOSTEL","1","1"
"171056","50","MGV,Boys  Hostel, Panchavati, Nashik-3.","25","1"
"194181","30","Sushrutha (20th Block)","0","1"
"185788","100","Sakshi Boys Hostel","40","1"
"189145","24","SHA Annexe","23","1"
"178889","100","MTI MENS HOSTEL","65","1"
"149415","50","POST MATRIC  HOSTEL ( BOYS)","37","1"
"158314","36","BOYS' HOSTEL-1","36","1"
"191230","200","D.G.Vaishnav College Hostel","145","1"
"154670","15","AYOS Hostel- 1","1","2"
"154879","220","M. L. Charitable Trust","28","1"
"180848","60","DEVI GIRLS HOSTEL","38","2"
"159443","350","Maharaja Surajmal","275","1"
"157646","120","GEC,Valsad Boys Hostel Block B","120","1"
"191568","40","Purusottom Girls Hostel","40","2"
"152087","40","Daulat Boys Hostel -1","0","1"
"165468","200","Girls Hostel Tanda","68","2"
"155514","50","shri jaidev vaishnav sanskrit hostel","20","1"
"190430","33","Women Hostel","15","2"
"165423","18","government girls hostel tonk","0","2"
"153693","20","Girls hostel-1","4","2"
"163373","300","GIRLS HOSTEL","212","2"
"172195","250","Dr.M.C.Saxena Boys Hoster","98","1"
"180739","122","Ladies Hostel No. 2","14","2"
"178034","100","ADITYA GIRLS HOSTEL","65","2"
"159923","150","Virupaksha","99","1"
"161050","160","SBF","159","2"
"161167","400","PRASANNA BOYS' HOSTEL","75","1"
"175318","435","Holy Cross Hostel","423","2"
"189108","365","Baba Sheikh farid Boys Hostel","175","1"
"184973","100","Vivekananda Research scholars Hostel","100","1"
"156020","100","Ladies Hostel","43","2"
"156795","90","PG Boys Hostel","85","1"
"154918","100","BOYS HOSTEL","50","1"
"160988","350","Murarilal Memorial hostel","304","2"
"163489","100","SWAMI VIVEKANAND BOYS HOSTEL","6","1"
"155135","500","Girls Hostel","1","2"
"159507","40","St.Joseph's Hostel","8","2"
"167952","28","Crossland Womens' Hostel","12","2"
"151349","200","Shri Ambika Sanskrit Chatralaya, Ambaji","178","1"
"168530","250","Pydah Women's Hostel","150","2"
"177025","196","Girls Hostel","105","2"
"187167","25","Rajiv Lochan Boys Hostel","4","1"
"192477","200","Tirumala College of Nursing","75","2"
"157557","36","BLOCK 7","37","1"
"171073","16","INTERNATIONAL COTTAGES","7","1"
"192558","100","GIRLS HOSTEL, SACHKHAND SCHOOL OF NURSING","37","2"
"153611","400","CAYMET's Siddhant Boys Hostel","300","1"
"159838","72","Bharati bhavan","63","2"
"189649","160","Jawahar Boys Hostel","130","1"
"157938","180","GCB Hostel - 1 Near Post Office","152","1"
"177042","750","BSR HOSTEL","750","3"
"177183","74","Lingaraj Old Boys Hostel","19","1"
"170480","200","KMCT POLYTECHNIC BOYS HOSTEL","175","1"
"179470","100","CE HOSTEL","93","2"
"190988","100","MOUNT ZION BOYS HOSTEL","8","1"
"189981","160","G.K REDDY SCHOOL OF NURSING","155","2"
"170737","80","syna boys hostel","10","1"
"176967","66","SR-6","62","1"
"148830","200","Ujwalatai shinde girls hostel","10","2"
"192758","30","Shagufta Girl's Hostel","24","2"
"150696","20","Parabar Boys Hostel","4","1"
"158377","256","Boys Hostel","77","1"
"185714","56","GIRLS HOSTEL","10","2"
