,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship,ranking_factor,PTR ratio
23864,19065,Haldia,19,588,2,Purba Medinipur B.Ed. College,191236,22.133906,88.08158799999998,0,41.0,9
23865,14890,Salem,33,483,2,Sri Ganesh College of Education,191240,11.658339999999999,78.18778499999999,1,14.0,11
23866,40729,HANUMANGARH,8,406,0,"Rajasthan College for Higher Education, Jakhrawali",191242,29.490001,74.60002,0,30.0,9
23867,53425,BHARATPUR,8,397,0,S.S. RAMBHAROSE LAL VERMA GOVT. ACHARYA SANSKRIT COLLEGE BHARATPUR,191243,27.22001,77.48001,1,2.0,9
23868,13645,Varanasi,9,527,2,"School of Management Sciences, Khushipur, Bachhawan, Varanasii",191245,,,0,21.0,9
23869,25320,GUDIVADA - 521301,28,21,0,VIDYALAYA DEGREE COLLEGE,191248,12.12345,79.23567,1,11.0,11
23870,20595,Bangalore,29,215,0,"Government First Grade College, Yedur, 6th Block, Jayanagar, Bangalore -560 082.",191249,12.24567,77.24566999999999,1,11.0,11
23871,6390,Delhi,7,120,0,Aditi Mahavidyalaya,191251,28.795659999999998,77.03687999999998,0,62.0,11
23872,45210,"New Panvel, Navi Mumbai",27,318,1,"DD VISPUTE COLLEGE OF COMMERCE SCIENCE AND MANAGEMENT, RAIGAD",191252,,,1,16.0,11
23873,40355,Bangalore,29,240,2,Narayana Hrudayalaya College of Nursing,191253,12.70001,77.70000999999999,0,17.0,10
23874,26923,proddatur,28,16,0,"Madura Sai Institute of IT & Management, Proddutur",191254,14.043479999999999,78.815855,0,15.0,9
23875,22906,Jammu,1,195,0,Jan college of Education,191255,,,0,7.0,10
23876,14090,Khalilabad,9,508,0,"Pt. Ambika Pratap Narayan Mahila Mahavidyalya, Mahadeva, Dumari, Sant Kabir Nagar",191256,,,0,52.0,10
23877,12253,Kapur,9,505,2,"AXIS INSTITUTE OF HIGHER EDUCATION, HATHIPUR, MAHARAJPUR,",191257,26.3443364,80.452784,1,17.0,11
23878,26399,Silchar,18,50,1,Janata College,191258,24.671072,92.858898,1,12.0,9
23879,12031,Yamunanagar,6,164,4,"Guru Nanak Girls College, Santpura",191259,30.135957399999995,77.2889107,1,127.0,11
23880,17181,Barpeta,18,52,0,Barpeta Law College,191260,,,1,8.0,9
23881,10588,Shahabad Markanda,6,164,0,Sardar Chanan singh Ghuman Memorial College of Educaton,191262,30.154457,76.87290300000001,1,15.0,11
23882,53622,Hyderabad,36,27,0,New Government Degree College for Women,191263,,,0,11.0,10
23883,51989,Harippad,32,260,0,"UNIVERSITY INSTITUTE OF TECHNOLOGY, KARUVATTA",191264,,,0,4.0,10
23884,20925,BANGALORE RURAL DISTRICT 562110,29,215,0,"Sri Krishna College of Education, Sri Venugopalaswamy Education Complex, Bychapura Raod, Devenahlli-562 110.",191266,13.199086500000002,77.7088094,1,12.0,9
23885,25650,Hyderabad,36,27,0,Sultan-Ul-Uloom Law College,191267,17.428001000000002,78.44444,0,11.0,9
